Serie,dateprel,geno,bac,trait,ST,idepi,niveau,idepillet,dateflo,grain,pfmg,psmg,volmm3,qteaumg,teneaupct,temp,daa,msumtpgr
4,13/05/2016,49,7,40,76,830,2,13,09/05/2016,2,9.607,,18.78306348,,,19,4,79.5
4,19/05/2016,49,7,40,130,831,2,11,12/05/2016,1,19.83,4.451,28.82534466,15.379,77.55421079,19,7,138.1
4,19/05/2016,49,7,40,130,831,2,11,12/05/2016,2,13.864,,23.8497916,,,19,7,138.1
4,19/05/2016,49,7,40,130,831,2,12,12/05/2016,1,21.44,4.853,29.53671048,16.587,77.36473881,19,7,138.1
4,19/05/2016,49,7,40,130,831,2,12,12/05/2016,2,17.483,,25.77248317,,,19,7,138.1
4,25/05/2016,49,7,40,266,832,2,11,11/05/2016,1,39.406,12.631,46.93611735,26.775,67.94650561,19,14,274.3
4,25/05/2016,49,7,40,266,832,2,11,11/05/2016,2,39.212,,46.54135941,,,19,14,274.3
4,25/05/2016,49,7,40,266,832,2,12,11/05/2016,1,42.261,14.068,48.89487817,28.193,66.71162538,19,14,274.3
4,25/05/2016,49,7,40,266,832,2,12,11/05/2016,2,36.531,,42.95347066,,,19,14,274.3
4,18/05/2016,49,7,40,230,833,2,12,06/05/2016,1,41.61,12.749,39.31723247,28.861,69.36073059,19,12,235.9
4,18/05/2016,49,7,40,230,833,2,12,06/05/2016,2,38.224,,45.24136273,,,19,12,235.9
4,18/05/2016,49,7,40,230,833,2,13,06/05/2016,1,42.695,13.339,47.4160815,29.356,68.75746575,19,12,235.9
4,18/05/2016,49,7,40,230,833,2,13,06/05/2016,2,40.916,,48.4388304,,,19,12,235.9
4,24/05/2016,49,7,40,323,835,2,12,07/05/2016,1,46.395,16.859,48.41779443,29.536,63.66203255,19,17,332
4,24/05/2016,49,7,40,323,835,2,12,07/05/2016,2,48.013,,51.34079276,,,19,17,332
4,24/05/2016,49,7,40,323,835,2,13,07/05/2016,1,50.006,18.619,54.63943343,31.387,62.76646802,19,17,332
